id,en,jp,trans
0-chapter_name,,見えない未来,看不见的未来
0-synopsis,,立ち寄った小さな村で知り合いへのお土産を悩むマギサ。長い買い物にビィはしびれを切らすが、一行にもう少し待った方が村のためだとマギサは話す。ビィが理由を聞こうとした瞬間、突如村に魔物が現れた。,一个小村庄，你遇到了熟人的纪念品。长途购物会让蓝色麻木，但对于那个等待聚会的村庄来说，这更好。在Ao试图听到原因的那一刻，一个恶魔突然出现在村子里。
0,,おーい！　まだか姉さーん！,嘿！还是我的姐姐！
1,,んー……<br>もうちょっと悩ませて頂戴。<br>なかなか色が決められないの。,嗯......让我再打扰你了。我不能轻易决定颜色。
2,,<span class='scene-font-katari'>物資の補給のために立ち寄った</span><br><span class='scene-font-katari'>小さな村でマギサは、</span><br><span class='scene-font-katari'>真剣にお土産を吟味していた。</span>,在一个小村庄，他停下来供应物资，Yusuke认真检查了纪念品。
3,,この置物……独特のセンスはいいけど、<br>あの子、こういうの怖がるかしら……<br>ねぇ、姬塔はどう思う？,这个小雕像......我有一种与众不同的感觉，但那个女孩，我害怕那种......你怎么看待这座塔？
4,,私の友達に、<br>ある理由で故郷を<br>離れられない子がいるの。,我的朋友有一个孩子由于某种原因不能离开他/她的家乡。
5,,とっても臆病な子なんだけど、<br>この置物をお土産にしたら、<br>怖がっちゃうかしらね？,这是一个非常胆小的孩子，但如果你把这个纪念品作为纪念品，你会害怕吗？
6,,ったく……<br>いったい何に悩んでるってんだ？,想......你到底在痛苦吗？
7,,あら、ごめんなさい。<br>待たせちゃってたわね。,哦，抱歉。我让你久等了
8,,でも、もう少しだけ待って頂戴。<br>そのほうがきっと、<br>この村のためだから……,但是等一下。那可能是村里的......
9,,んん？　そりゃどういう……,我你是谁？那是什么......
10,,<span class='scene-font-5'>グオオォォッ！！</span>,Guoooo“！ ！
11,,ほら……ね？<br>さぁ、さっさと片付けちゃいましょう。<br>ここからが忙しくなってくるんだから。,嘿......对吗？好吧，让我们快点清理吧。从这里开始忙碌起来。
info,,1,scene_chr051_q1_s10
