id,en,jp,trans
0-chapter_name,,見えない未来,看不见的未来
0-synopsis,,魔物を撃退した一行は、正式に魔物の巣の壊滅を依頼される。巣へ向かう途中、マギサに先ほどの予知のことを聞くと、自分は全ての魔法が得意だからあの程度は造作もないと自信を露わにするのだった。,一条排斥恶魔的线路正式被要求摧毁怪物的巢穴。在我去巢穴的路上，当我之前听说过预测时，我自信地认为我擅长所有魔法，所以没有那种特征。
0,,簡単な話よ。<br>だって私、魔女だもの。<br>未来の一つや二つ、すぐにわかるわ。,一个简单的故事。因为我是女巫。未来的一两个，我很快就会看到。
1,,そ、そういうものなんですか……？,是那样的......？
2,,<span class='scene-font-katari'>村に現れた魔物を</span><br><span class='scene-font-katari'>撃退した姬塔一行。</span>,一排姬塔击退了村里出现的怪物。
3,,<span class='scene-font-katari'>実力を示した一行は、</span><br><span class='scene-font-katari'>魔物の巣の壊滅を依頼され、</span><br><span class='scene-font-katari'>巣があるという森を訪れていた。</span>,一条显示出他的能力的线被要求摧毁怪物的巢穴并且正在参观一个有巢的森林。
4,,そうね……<br>みんながみんな、<br>そうというわけじゃないんだけど……,嗯......不是每个人，就是这样......
5,,学者が一つの分野を専攻するように、<br>魔女にも<br>得手不得手というものがあるのよ。,像专业领域的学者一样，女巫也有一些弱点。
6,,例えば、<br>召喚は得意だけど、<br>予知が苦手な子とか……,例如，我擅长召唤，但我不善于预测......
7,,例えば、<br>予知は得意だけど、<br>傀儡が苦手な子とか……,例如，虽然他善于预测，但他不擅长傀儡，或......
8,,じゃあ……<br>予知がマギサさんの<br>得意分野なんですね！,那么......预测是Yoshiharu Masaru先生的好领域！
9,,まさか……私の得意分野は全てよ。<br>魔法と名のつくものなら、<br>何だろうと誰にも負けやしないわ。,没办法......我有我能为你做的一切。如果它是神奇的和命名的，无论它是什么，我都不会输给任何人。
10,,ったく、大した自信だぜ……,这很有信心......
11,,ふふ……だって事実だもの。<br>私、こう見えて正直者なの。,呵呵......因为这是事实。我是一个诚实的人，看起来像这样。
12,,さぁ、魔物の巣は目前だわ。<br>早々に片づけて、<br>お土産選びの続きをしなくっちゃ！,嗯，怪物巢现在已近。快速整理，我必须继续选择纪念品！
info,,1,scene_chr051_q2_s10
